Dutch Word,English Word,Frequency
ik,I,10006772
je,you,9001167
het,the  ,7081845
de,the,6792979
dat,Which,6007618
is,is,5657678
een,a,5039260
niet,not ,4772886
en,and,3722568
van,by,2941504
wat,what,2769802
we,we,2691355
in,in,2588813
ze,they,2456905
hij,he,2329687
te,at,2321454
zijn,to be,2205527
op,on,2144681
maar,but,2126469
er,there,2044255
met,of,1856605
voor,for,1855375
die,That,1846895
heb,have got,1769182
me,me,1761825
als,as,1684935
was,used to be,1493229
ben,am,1382175
om,to,1321308
dit,this,1258367
mijn,mine,1224703
aan,at,1182865
u,you,1177214
dan,than,1134894
n,n,1131929
naar,nasty,1129663
weet,know,1120838
hier,here,1086524
zo,like this,1052236
jij,you,1044294
kan,can,1042319
geen,no,1020815
nog,yet,994553
ja,Yes,982006
hem,it,972927
heeft,has,969831
wel,well,958539
moet,must,957595
wil,want to,941239
hebben,to have,926997
goed,good  ,887819
haar,hair,867675
nee,new,856003
hoe,how,803291
nu,now,792974
waar,true,773738
over,about,746315
ook,also,734375
doen,to do,713370
uit,from,700277
zou,would,692836
ga,go,679718
of,or,674193
gaan,to go,671794
bent,are,669561
mij,me,666821
bij,Bee,655438
al,already,632609
ons,us,602876
had,had,584503
iets,something,583350
daar,there,581597
jullie,you,580766
gaat,goes,569583
zal,shall,568758
m,m,567079
hebt,have,565918
kom,bowl,559616
waarom,Why,557548
meer,Lake,555563
deze,this one,516044
moeten,should,472658
t,t,472001
laat,leave,470609
kunnen,can,468133
dus,So,461409
jou,you,448182
denk,think,439193
wie,Who,435485
alles,everything,426991
echt,real,424799
doe,off,418336
door,by means of,417203
alleen,only,407083
s,s,401559
toch,However,392983
zien,see,383961
weg,away,376436
eens,once,371727
man,man,359475
misschien,maybe,359214
laten,to leave,353505
nooit,never,350946
nou,Well,347555
zei,said,342913
terug,back,342296
oké,Okay,341155
mee,along,336637
niets,nothing,329731
iemand,someone,328805
komt,coming,313150
toen,then,312964
veel,loads of,307717
even,for a bit,305017
onze,our,300608
gewoon,just,295651
weten,know,293558
komen,come,291569
nodig,necessary,291351
mensen,people,290275
tot,until,288727
worden,become,281032
zeggen,say,278585
tijd,time,278263
weer,again,276186
leven,to live,274544
twee,two,269781
net,just,266915
tegen,against,265256
maken,to make,258350
uw,your,257050
zeg,say,254035
omdat,because,252830
zit,sit,251543
wordt,is becoming,250695
z,Z,249724
hou,keep,247154
kijk,look,243303
heel,all,243287
wij,we ,242654
altijd,all the time,234911
mag,allowed,233769
gedaan,done,233289
dood,dead,229213
zeker,secure,228323
af,off,220034
jaar,year,215656
hun,their,215211
wilde,wild,214119
dag,day,213062
allemaal,all of them,210925
jouw,your,210824
huis,House,210552
dacht,thought,210182
doet,is doing,208207
vader,father,207641
kunt,can,204817
wacht,guard,203442
zie,see ,198787
vrouw,woman,198443
keer,time,196456
andere,Others,195409
zoals,like,195251
zij,she,193752
dank,thanks,189986
anders,different,189426
geef,give,189089
waren,goods,188873
willen,want,188572
zich,herself,187074
bedankt,thanks,185125
één,a,184315
mr,MR,183677
erg,terribly,183563
wilt,want,182672
praten,to talk,179721
spijt,regret,179198
geld,money,178884
kon,could,178838
werk,work,178658
oh,Oh,177930
iedereen,everybody,176789
beter,better,176777
werd,became,175810
moeder,mother,174794
niemand,nobody,174437
vinden,find,173290
staat,stands,173184
gezien,seen,171287
niks,nothing,171080
binnen,within,167230
zitten,sit,167093
zullen,shall,165002
na,after,162379
helpen,help out,162225
wist,knew,161677
vind,find,159802
genoeg,enough,156685
sorry,Sorry,153660
vast,fixed,152616
elkaar,each other,152602
ging,went,152470
uur,o'clock,151811
klaar,finished,151070
hele,whole,150708
neem,take,149716
leuk,nice,148031
natuurlijk,naturally,147413
alle,all,146723
god,God,145302
maak,make,144655
lang,long,144498
kwam,came,142612
graag,Please,141828
hé,Hey,141375
toe,at,141284
drie,three,141271
zegt,say,140895
bedoel,mean,140818
deed,held,139507
dingen,stuff,139324
maakt,make,138947
alsjeblieft,please,138555
eerste,first,138080
krijgen,to get,137832
zonder,without,135995
steeds,still,135812
hallo,Hello,134987
houden,to hold,134284
vertellen,to tell,134044
ziet,sees,133855
idee,idea,132998
geven,to give,131642
achter,behind,131354
geweest,been,129097
blijven,to stay,128599
helemaal,all the way,128515
mooi,pretty,127879
onder,below,127669
kijken,look,126801
zag,saw,126486
goede,good  ,125885
naam,name,125347
moest,had to,125032
blijf,stay,124084
kun,abundance,123657
auto,car,123520
luister,listen,123012
grote,great,122566
lijkt,seems,122559
snel,fast,122260
ooit,ever,121243
vragen,ask,120995
paar,couple,119519
wanneer,when,118956
want,because,118206
meneer,sir,118042
nieuwe,new ones,117799
gebeurd,happened,117783
zorgen,to care,117301
vriend,friend,117110
beetje,bit,116575
kinderen,children,115945
gek,freak,115234
hand,hand,114442
vraag,question,113408
laatste,last,113141
geweldig,awesome,111774
hadden,had,111707
zelfs,even,110112
enige,any,108971
bang,anxious,108357
nemen,to take,107484
samen,together,106665
eten,food,106458
o,O,106208
zelf,self,105869
hoor,hear,104358
geleden,past,104345
staan,stand,103274
gevonden,found it,101957
jongen,boy,101830
denken,to think,100712
vandaag,Today,100632
denkt,thinks,99598
beste,Best,99513
